74;125;133;141;128;252;19;18;g;win;Windows;XP;853641209;0;0;0;49;1430;14180;0;6;0;5
72;21;211;9;128;252;102;227;g;win;Windows;XP;2776361117;3;0;0;242;1360;8190;0;6;0;5
208;71;123;1;128;252;102;165;g;win;Windows;XP;118251589;3;0;0;247;1360;8190;0;0;0;5
199;127;194;80;128;252;101;169;g;win;Windows;XP;853641209;1;0;0;56;1460;14480;0;7;0;5
54;243;101;49;128;252;102;162;g;win;Windows;XP;853641209;1;0;0;47;1460;14480;0;8;0;5
174;35;24;66;128;252;102;86;g;win;Windows;XP;853641209;1;0;0;56;1460;64784;0;7;0;5
66;114;53;9;128;252;102;86;g;win;Windows;XP;853641209;1;0;0;57;1460;64784;0;7;0;5
17;151;225;63;65;254;127;189;g;win;Windows;XP;118251589;3;0;0;243;1360;8190;0;0;0;5
17;154;66;17;128;252;102;211;g;win;Windows;XP;85765585;3;0;0;243;1360;8190;0;4;0;5
63;215;202;9;65;254;127;186;g;win;Windows;XP;118251589;3;0;0;245;1360;8190;0;0;0;5
74;125;225;117;128;252;102;4;g;win;Windows;XP;853641209;0;0;0;57;1430;62392;0;6;0;5
23;60;95;144;128;252;102;151;g;win;Windows;XP;853641209;1;0;0;58;1460;14480;0;1;0;5
69;171;235;16;65;254;127;187;g;win;Windows;XP;853641209;1;0;0;81;1460;14480;0;9;0;5
64;208;138;151;128;252;102;165;g;win;Windows;XP;853641209;1;0;0;55;1460;5792;0;9;0;5
17;151;225;56;65;254;127;189;g;win;Windows;XP;118251589;3;0;0;243;1360;8190;0;0;0;5
74;125;225;124;65;254;127;186;g;win;Windows;XP;853641209;0;0;0;57;1430;62392;0;6;0;5
31;13;74;23;128;252;102;185;g;win;Windows;XP;853641209;1;0;0;88;1460;14480;0;9;0;5
74;125;225;111;128;252;102;214;g;win;Windows;XP;853641209;0;0;0;57;1430;62392;0;6;0;5
128;252;0;1;146;246;89;59;g;win;Windows;XP;853641209;1;0;0;63;1460;5792;0;7;0;5
141;11;0;145;128;252;19;19;g;win;Windows;XP;853641209;1;0;0;53;1460;5792;0;6;0;5
50;116;194;28;128;252;102;204;g;win;Windows;XP;118251589;3;0;0;246;1360;8190;0;0;0;5
