2013-1-22 12:32:54
60;152;238;150;192;168;56;102;s;unix;Linux;2.4-2.6;947159361;1;0;0;64;1460;5840;1;0;0
184;171;227;99;192;168;56;102;s;unix;p0f;sendsyn utility;392538385;0;13;0;192;1331;1337;2;5;0
18;219;106;183;192;168;56;102;s;unix;p0f;sendsyn utility;1669652093;0;3;0;192;1331;1337;2;5;0
48;42;22;141;192;168;56;102;s;unix;Linux;2.6.x (loopback);853641209;3;0;0;64;16396;32792;1;2;0
110;101;180;210;192;168;56;102;g;unix;FreeBSD;;1809663017;3;0;0;64;1460;65535;2;13;0
214;177;210;113;192;168;56;102;s;unix;Linux;2.4-2.6;118251589;1;0;0;64;1460;5840;1;0;0
89;186;104;46;192;168;56;102;s;unix;Solaris;8;1818509245;3;0;0;64;1460;27740;1;0;0
223;115;52;205;192;168;56;102;s;unix;p0f;sendsyn utility;839137397;0;5;0;192;1331;1337;2;5;0
151;50;69;156;192;168;56;102;s;win;Windows;7 or 8;85765585;3;0;0;128;1460;8192;2;8;0
80;30;242;233;192;168;56;102;s;unix;p0f;sendsyn utility;22698018;0;16;0;192;1331;1337;2;0;0
190;125;110;93;192;168;56;102;s;unix;FreeBSD;9.x;1809663017;3;0;0;64;1460;65535;2;6;0
72;184;48;248;192;168;56;102;s;unix;FreeBSD;9.x;2776361117;3;0;0;64;1460;65535;2;6;0
188;181;230;23;192;168;56;102;s;unix;Solaris;10;3473552393;3;0;0;64;1460;54020;1;0;0
192;147;202;110;192;168;56;102;g;unix;Mac OS X;;409617867;3;1;0;64;1460;65535;2;13;0
233;114;147;197;192;168;56;102;s;unix;Linux;3.x;1661676545;1;0;0;64;1460;14600;1;13;0
172;120;65;158;192;168;56;102;s;unix;Linux;2.6.x;853641209;1;0;0;64;1460;5840;1;13;0
68;198;16;184;192;168;56;102;s;win;Windows;XP;118251589;3;0;0;128;1460;16384;2;0;0
181;17;250;201;192;168;56;102;s;win;Windows;XP;3473552393;3;0;0;64;1460;16384;2;0;0
236;94;152;129;192;168;56;102;s;unix;HP-UX;11.x;118251589;3;0;0;64;1460;32768;2;0;0
211;165;67;37;192;168;56;102;s;unix;OpenBSD;3.x;2316069633;3;0;0;64;1460;16384;2;0;0
69;195;148;98;192;168;56;102;s;unix;FreeBSD;8.x-9.x;947159361;3;0;0;64;1460;65535;2;0;0
11;205;111;114;192;168;56;102;s;unix;FreeBSD;9.x;18655109;3;0;0;64;1460;65535;2;6;0
241;146;226;53;192;168;56;102;s;!;NMap;OS detection;2078701586;128;0;0;64;536;16;2;10;0
